query_segment_id,query_episode_id,query_verb,query_start_time,query_end_time,query_video_path,neighbor_rank,neighbor_segment_id,neighbor_episode_id,neighbor_verb,neighbor_start_time,neighbor_end_time,neighbor_video_path,distance,same_verb
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,1,2025-09-20-17-42-51-000000:front_1:000090,2025-09-20-17-42-51-000000,fold_clothes,90.0,91.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000090.mp4,4.2963949946815125,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,2,2025-09-20-17-42-51-000000:front_1:000065,2025-09-20-17-42-51-000000,fold_clothes,65.0,66.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000065.mp4,4.6996088425257625,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,3,2025-09-20-17-47-54-000000:front_1:000091,2025-09-20-17-47-54-000000,fold_clothes,91.0,92.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000091.mp4,5.069586588108475,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,4,2025-09-20-17-47-54-000000:front_1:000000,2025-09-20-17-47-54-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000000.mp4,5.279113816235881,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,5,2025-09-20-17-47-54-000000:front_1:000001,2025-09-20-17-47-54-000000,fold_clothes,1.0,2.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000001.mp4,5.30145187967688,True
2025-09-20-17-42-51-000000:front_1:000010,2025-09-20-17-42-51-000000,fold_clothes,10.0,11.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,1,2025-09-20-17-42-51-000000:front_1:000047,2025-09-20-17-42-51-000000,fold_clothes,47.0,48.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000047.mp4,2.286766740695868,True
2025-09-20-17-42-51-000000:front_1:000010,2025-09-20-17-42-51-000000,fold_clothes,10.0,11.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,2,2025-09-20-17-42-51-000000:front_1:000044,2025-09-20-17-42-51-000000,fold_clothes,44.0,45.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000044.mp4,2.95925128586974,True
2025-09-20-17-42-51-000000:front_1:000010,2025-09-20-17-42-51-000000,fold_clothes,10.0,11.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,3,2025-09-20-17-42-51-000000:front_1:000037,2025-09-20-17-42-51-000000,fold_clothes,37.0,38.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000037.mp4,2.9657923860904845,True
2025-09-20-17-42-51-000000:front_1:000010,2025-09-20-17-42-51-000000,fold_clothes,10.0,11.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,4,2025-09-20-17-42-51-000000:front_1:000014,2025-09-20-17-42-51-000000,fold_clothes,14.0,15.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000014.mp4,3.4192587717433742,True
2025-09-20-17-42-51-000000:front_1:000010,2025-09-20-17-42-51-000000,fold_clothes,10.0,11.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,5,2025-09-20-17-42-51-000000:front_1:000066,2025-09-20-17-42-51-000000,fold_clothes,66.0,67.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000066.mp4,3.6948208544866157,True
