episode_id,segment_id,canonical_verb,start_time,end_time,duration,start_frame,end_frame_exclusive,tracking_valid_frac,measured_tracking_valid_frac,tracking_quality,missing_value_rate,interpolated_value_count,coordinate_mode,pose_source_path,video_path,source_data_path,is_valid,rejection_reason,cluster_id,mean_same_verb_knn_distance,distinctiveness_percentile,cluster_rarity,potential_tracking_outlier,selected,selection_reason
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000000,fold_clothes,0.0,1.0,1.0,0,30,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,4.929231224245703,0.7393617021276596,0.7659574468085106,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000001,fold_clothes,1.0,2.0,1.0,30,60,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000001.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,3.972781609157915,0.5319148936170213,0.7659574468085106,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000002,fold_clothes,2.0,3.0,1.0,60,90,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000002.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,3.006113340215001,0.14893617021276595,0.7659574468085106,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000003,fold_clothes,3.0,4.0,1.0,90,120,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000003.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,4.702948135201353,0.6808510638297872,0.75,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000004,fold_clothes,4.0,5.0,1.0,120,150,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000004.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,4.259670562815288,0.6117021276595744,0.75,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000005,fold_clothes,5.0,6.0,1.0,150,180,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000005.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__2,5.666426506885516,0.8723404255319149,0.9414893617021276,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000006,fold_clothes,6.0,7.0,1.0,180,210,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000006.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,3.2307370139122993,0.26063829787234044,0.7659574468085106,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000007,fold_clothes,7.0,8.0,1.0,210,240,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,3.320927461982791,0.2925531914893617,0.75,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000008,fold_clothes,8.0,9.0,1.0,240,270,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000008.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,5.347446379495206,0.8138297872340425,0.75,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000009,fold_clothes,9.0,10.0,1.0,270,300,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000009.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__3,6.508016555782642,0.9361702127659575,0.9095744680851063,False,True,facility_location_gain_per_second
