episode_id,segment_id,canonical_verb,start_time,end_time,duration,start_frame,end_frame_exclusive,cluster_id,distinctiveness_percentile,selection_reason,source_data_path
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000043,fold_clothes,43.0,44.0,1.0,1290,1320,fold_clothes__1,0.14361702127659576,preserve_populated_verb,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000048,fold_clothes,48.0,49.0,1.0,1440,1470,fold_clothes__1,0.07446808510638298,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000043,fold_clothes,43.0,44.0,1.0,1290,1320,fold_clothes__0,0.10106382978723404,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000063,fold_clothes,63.0,64.0,1.0,1890,1920,fold_clothes__1,0.18617021276595744,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000024,fold_clothes,24.0,25.0,1.0,720,750,fold_clothes__0,0.5478723404255319,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000035,fold_clothes,35.0,36.0,1.0,1050,1080,fold_clothes__1,0.22340425531914893,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000064,fold_clothes,64.0,65.0,1.0,1920,1950,fold_clothes__1,0.17553191489361702,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000093,fold_clothes,93.0,93.6,0.6,2790,2808,fold_clothes__1,1.0,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000047,fold_clothes,47.0,48.0,1.0,1410,1440,fold_clothes__1,0.06382978723404255,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000072,fold_clothes,72.0,73.0,1.0,2160,2190,fold_clothes__1,0.43617021276595747,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000052,fold_clothes,52.0,53.0,1.0,1560,1590,fold_clothes__1,0.2925531914893617,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000051,fold_clothes,51.0,52.0,1.0,1530,1560,fold_clothes__1,0.22872340425531915,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000039,fold_clothes,39.0,40.0,1.0,1170,1200,fold_clothes__0,0.44148936170212766,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000033,fold_clothes,33.0,34.0,1.0,990,1020,fold_clothes__1,0.3670212765957447,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000061,fold_clothes,61.0,62.0,1.0,1830,1860,fold_clothes__1,0.8936170212765957,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000071,fold_clothes,71.0,72.0,1.0,2130,2160,fold_clothes__1,0.2074468085106383,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000088,fold_clothes,88.0,89.0,1.0,2640,2670,fold_clothes__1,0.7819148936170213,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
