query_segment_id,query_episode_id,query_verb,query_start_time,query_end_time,query_video_path,neighbor_rank,neighbor_segment_id,neighbor_episode_id,neighbor_verb,neighbor_start_time,neighbor_end_time,neighbor_video_path,distance,same_verb
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,1,2025-09-20-17-47-54-000000:front_1:000002,2025-09-20-17-47-54-000000,fold_clothes,2.0,3.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000002.mp4,4.830498063308168,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,2,2025-09-20-17-47-54-000000:front_1:000001,2025-09-20-17-47-54-000000,fold_clothes,1.0,2.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000001.mp4,4.832280557910416,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,3,2025-09-20-17-47-54-000000:front_1:000000,2025-09-20-17-47-54-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000000.mp4,4.9455756925733905,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,4,2025-09-20-17-47-54-000000:front_1:000044,2025-09-20-17-47-54-000000,fold_clothes,44.0,45.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000044.mp4,5.1280926458660945,True
2025-09-20-17-42-51-000000:front_1:000000,2025-09-20-17-42-51-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,5,2025-09-20-17-47-54-000000:front_1:000068,2025-09-20-17-47-54-000000,fold_clothes,68.0,69.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000068.mp4,5.226518392424316,True
2025-09-20-17-42-51-000000:front_1:000007,2025-09-20-17-42-51-000000,fold_clothes,7.0,8.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,1,2025-09-20-17-47-54-000000:front_1:000001,2025-09-20-17-47-54-000000,fold_clothes,1.0,2.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000001.mp4,5.636859048565102,True
2025-09-20-17-42-51-000000:front_1:000007,2025-09-20-17-42-51-000000,fold_clothes,7.0,8.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,2,2025-09-20-17-47-54-000000:front_1:000002,2025-09-20-17-47-54-000000,fold_clothes,2.0,3.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000002.mp4,5.6740967165475285,True
2025-09-20-17-42-51-000000:front_1:000007,2025-09-20-17-42-51-000000,fold_clothes,7.0,8.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,3,2025-09-20-17-47-54-000000:front_1:000000,2025-09-20-17-47-54-000000,fold_clothes,0.0,1.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000000.mp4,5.909980009492257,True
2025-09-20-17-42-51-000000:front_1:000007,2025-09-20-17-42-51-000000,fold_clothes,7.0,8.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,4,2025-09-20-17-47-54-000000:front_1:000083,2025-09-20-17-47-54-000000,fold_clothes,83.0,84.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000083.mp4,6.121962185064068,True
2025-09-20-17-42-51-000000:front_1:000007,2025-09-20-17-42-51-000000,fold_clothes,7.0,8.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,5,2025-09-20-17-42-51-000000:front_1:000080,2025-09-20-17-42-51-000000,fold_clothes,80.0,81.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000080.mp4,6.134486731769152,True
2025-09-20-17-42-51-000000:front_1:000017,2025-09-20-17-42-51-000000,fold_clothes,17.0,18.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000017.mp4,1,2025-09-20-17-42-51-000000:front_1:000064,2025-09-20-17-42-51-000000,fold_clothes,64.0,65.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000064.mp4,4.482744185532651,True
2025-09-20-17-42-51-000000:front_1:000017,2025-09-20-17-42-51-000000,fold_clothes,17.0,18.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000017.mp4,2,2025-09-20-17-42-51-000000:front_1:000026,2025-09-20-17-42-51-000000,fold_clothes,26.0,27.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000026.mp4,4.535907772298806,True
2025-09-20-17-42-51-000000:front_1:000017,2025-09-20-17-42-51-000000,fold_clothes,17.0,18.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000017.mp4,3,2025-09-20-17-42-51-000000:front_1:000091,2025-09-20-17-42-51-000000,fold_clothes,91.0,92.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000091.mp4,5.138850529798097,True
2025-09-20-17-42-51-000000:front_1:000017,2025-09-20-17-42-51-000000,fold_clothes,17.0,18.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000017.mp4,4,2025-09-20-17-42-51-000000:front_1:000008,2025-09-20-17-42-51-000000,fold_clothes,8.0,9.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000008.mp4,5.60877140559744,True
2025-09-20-17-42-51-000000:front_1:000017,2025-09-20-17-42-51-000000,fold_clothes,17.0,18.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000017.mp4,5,2025-09-20-17-47-54-000000:front_1:000044,2025-09-20-17-47-54-000000,fold_clothes,44.0,45.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-47-54-000000/front_1/000044.mp4,6.036509585143491,True
2025-09-20-17-42-51-000000:front_1:000026,2025-09-20-17-42-51-000000,fold_clothes,26.0,27.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000026.mp4,1,2025-09-20-17-42-51-000000:front_1:000091,2025-09-20-17-42-51-000000,fold_clothes,91.0,92.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000091.mp4,3.153529347241539,True
2025-09-20-17-42-51-000000:front_1:000026,2025-09-20-17-42-51-000000,fold_clothes,26.0,27.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000026.mp4,2,2025-09-20-17-42-51-000000:front_1:000064,2025-09-20-17-42-51-000000,fold_clothes,64.0,65.0,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000064.mp4,3.7838363279026,True
