query_segment_id,query_episode_id,query_verb,query_start_time,query_end_time,query_video_path,neighbor_rank,neighbor_segment_id,neighbor_episode_id,neighbor_verb,neighbor_start_time,neighbor_end_time,neighbor_video_path,distance,same_verb
synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,1,synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,1.129961619880016,True
synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,2,synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,1.4056712487535923,True
synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,3,synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,1.4456355381249073,True
synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,4,synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,1.5221130560987135,True
synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,5,synthetic_ep_01_adjust_3,synthetic_ep_01,adjust,0.0,1.29,nan,1.8583593541859136,True
synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,1,synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,1.336732901308467,True
synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,2,synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,1.6713253796014276,True
synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,3,synthetic_ep_05_pick_2,synthetic_ep_05,pick,0.0,1.2000000000000002,nan,2.1643538235039994,True
synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,4,synthetic_ep_01_pick_2,synthetic_ep_01,pick,0.0,1.1700000000000002,nan,2.3407384133452047,True
synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,5,synthetic_ep_03_pick_2,synthetic_ep_03,pick,0.0,1.14,nan,2.6452102175589944,True
synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,1,synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,1.514782768636755,True
synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,2,synthetic_ep_04_smooth_1,synthetic_ep_04,smooth,0.0,1.05,nan,1.5636110424278726,True
synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,3,synthetic_ep_06_smooth_1,synthetic_ep_06,smooth,0.0,1.02,nan,3.0143885568198234,True
synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,4,synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,4.12180097168074,True
synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,5,synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,4.16875736086273,True
synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,1,synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,1.9824665151715373,True
synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,2,synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,3.3321079599077246,True
synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,3,synthetic_ep_06_fold_0,synthetic_ep_06,fold,0.0,0.9,nan,3.9450525844411795,True
synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,4,synthetic_ep_07_fold_0,synthetic_ep_07,fold,0.0,0.93,nan,4.125699193379633,True
synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,5,synthetic_ep_02_fold_0,synthetic_ep_02,fold,0.0,0.96,nan,4.742622519999999,True
synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,1,synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,2.1459301233155164,True
synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,2,synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,2.7974470167778107,True
synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,3,synthetic_ep_07_smooth_1,synthetic_ep_07,smooth,0.0,1.05,nan,2.9121426756468445,True
synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,4,synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,4.16875736086273,True
synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,5,synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,4.47663892399191,True
synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,1,synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,0.7023771678210523,True
synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,2,synthetic_ep_01_adjust_3,synthetic_ep_01,adjust,0.0,1.29,nan,0.9187372015014519,True
synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,3,synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,1.4056712487535923,True
synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,4,synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,1.5680065804537597,True
synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,5,synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,1.8927724174578158,True
synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,1,synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,1.5889320589638918,True
synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,2,synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,1.6713253796014276,True
synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,3,synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,2.4906046445560417,True
synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,4,synthetic_ep_07_pick_2,synthetic_ep_07,pick,0.0,1.1700000000000002,nan,2.5192839404770284,True
synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,5,synthetic_ep_05_pick_2,synthetic_ep_05,pick,0.0,1.2000000000000002,nan,3.0668384973630105,True
synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,1,synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,1.514782768636755,True
synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,2,synthetic_ep_04_smooth_1,synthetic_ep_04,smooth,0.0,1.05,nan,2.781164879350989,True
synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,3,synthetic_ep_06_smooth_1,synthetic_ep_06,smooth,0.0,1.02,nan,4.301321219401616,True
synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,4,synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,4.47663892399191,True
synthetic_ep_02_smooth_1,synthetic_ep_02,smooth,0.0,1.08,nan,5,synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,4.62293561525986,True
synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,1,synthetic_ep_07_fold_0,synthetic_ep_07,fold,0.0,0.93,nan,2.694300251326286,True
synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,2,synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,3.1604375670889606,True
synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,3,synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,3.3321079599077246,True
synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,4,synthetic_ep_02_fold_0,synthetic_ep_02,fold,0.0,0.96,nan,3.9023712448365857,True
synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,5,synthetic_ep_00_fold_0,synthetic_ep_00,fold,0.0,0.9,nan,4.211312235178143,True
synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,1,synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,0.9938607143620052,True
synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,2,synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,2.1459301233155164,True
synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,3,synthetic_ep_07_smooth_1,synthetic_ep_07,smooth,0.0,1.05,nan,3.1315473504423372,True
synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,4,synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,4.12180097168074,True
synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,5,synthetic_ep_04_smooth_1,synthetic_ep_04,smooth,0.0,1.05,nan,4.171914901551779,True
synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,1,synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,1.129961619880016,True
synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,2,synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,1.6426449833903065,True
synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,3,synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,1.850154081914037,True
synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,4,synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,1.8927724174578158,True
synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,5,synthetic_ep_01_adjust_3,synthetic_ep_01,adjust,0.0,1.29,nan,2.382092945633935,True
synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,1,synthetic_ep_07_pick_2,synthetic_ep_07,pick,0.0,1.1700000000000002,nan,0.6835461562717561,True
synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,2,synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,2.4906046445560417,True
synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,3,synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,2.683436679546244,True
synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,4,synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,3.280196955674293,True
synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,5,synthetic_ep_05_pick_2,synthetic_ep_05,pick,0.0,1.2000000000000002,nan,3.607060410638136,True
synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,1,synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,1.5221130560987135,True
synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,2,synthetic_ep_04_adjust_3,synthetic_ep_04,adjust,0.0,1.29,nan,1.850154081914037,True
synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,3,synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,2.0782589107423535,True
synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,4,synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,2.3098352572984373,True
synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,5,synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,2.3889378266765156,True
synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,1,synthetic_ep_01_fold_0,synthetic_ep_01,fold,0.0,0.93,nan,1.9824665151715373,True
synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,2,synthetic_ep_07_fold_0,synthetic_ep_07,fold,0.0,0.93,nan,2.8766604758374887,True
synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,3,synthetic_ep_03_fold_0,synthetic_ep_03,fold,0.0,0.9,nan,3.1604375670889606,True
synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,4,synthetic_ep_06_fold_0,synthetic_ep_06,fold,0.0,0.9,nan,3.782141058633261,True
synthetic_ep_05_fold_0,synthetic_ep_05,fold,0.0,0.96,nan,5,synthetic_ep_02_fold_0,synthetic_ep_02,fold,0.0,0.96,nan,4.409526236265581,True
synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,1,synthetic_ep_03_smooth_1,synthetic_ep_03,smooth,0.0,1.02,nan,0.9938607143620052,True
synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,2,synthetic_ep_01_smooth_1,synthetic_ep_01,smooth,0.0,1.05,nan,2.7974470167778107,True
synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,3,synthetic_ep_07_smooth_1,synthetic_ep_07,smooth,0.0,1.05,nan,3.6469490777421165,True
synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,4,synthetic_ep_04_smooth_1,synthetic_ep_04,smooth,0.0,1.05,nan,4.168528051994365,True
synthetic_ep_05_smooth_1,synthetic_ep_05,smooth,0.0,1.08,nan,5,synthetic_ep_00_smooth_1,synthetic_ep_00,smooth,0.0,1.02,nan,4.373499980203432,True
synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,1,synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,1.1852364798665116,True
synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,2,synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,1.5680065804537597,True
synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,3,synthetic_ep_01_adjust_3,synthetic_ep_01,adjust,0.0,1.29,nan,1.7255539764491248,True
synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,4,synthetic_ep_00_adjust_3,synthetic_ep_00,adjust,0.0,1.26,nan,2.337820538687989,True
synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,5,synthetic_ep_05_adjust_3,synthetic_ep_05,adjust,0.0,1.32,nan,2.3889378266765156,True
synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,1,synthetic_ep_00_pick_2,synthetic_ep_00,pick,0.0,1.14,nan,1.336732901308467,True
synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,2,synthetic_ep_02_pick_2,synthetic_ep_02,pick,0.0,1.2000000000000002,nan,1.5889320589638918,True
synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,3,synthetic_ep_05_pick_2,synthetic_ep_05,pick,0.0,1.2000000000000002,nan,2.1932538513254025,True
synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,4,synthetic_ep_04_pick_2,synthetic_ep_04,pick,0.0,1.1700000000000002,nan,2.683436679546244,True
synthetic_ep_06_pick_2,synthetic_ep_06,pick,0.0,1.14,nan,5,synthetic_ep_07_pick_2,synthetic_ep_07,pick,0.0,1.1700000000000002,nan,2.6956874568327907,True
synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,1,synthetic_ep_02_adjust_3,synthetic_ep_02,adjust,0.0,1.32,nan,0.7023771678210523,True
synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,2,synthetic_ep_06_adjust_3,synthetic_ep_06,adjust,0.0,1.26,nan,1.1852364798665116,True
synthetic_ep_07_adjust_3,synthetic_ep_07,adjust,0.0,1.29,nan,3,synthetic_ep_01_adjust_3,synthetic_ep_01,adjust,0.0,1.29,nan,1.2469521818412215,True
