episode_id,segment_id,canonical_verb,start_time,end_time,duration,tracking_valid_frac,measured_tracking_valid_frac,tracking_quality,missing_value_rate,interpolated_value_count,coordinate_mode,pose_source_path,video_path,source_data_path,is_valid,rejection_reason,cluster_id,mean_same_verb_knn_distance,distinctiveness_percentile,cluster_rarity,potential_tracking_outlier,selected,selection_reason
synthetic_ep_00,synthetic_ep_00_adjust_3,adjust,0.0,1.26,1.26,0.98,0.9761904761904762,0.9761904761904762,0.001984126984126984,3,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_adjust_3.npz,True,,adjust__0,1.4723481634086286,0.375,0.125,False,True,preserve_populated_verb
synthetic_ep_00,synthetic_ep_00_fold_0,fold,0.0,0.9,0.9,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_fold_0.npz,True,,fold__0,3.2277482061618388,0.375,0.5,False,False,
synthetic_ep_00,synthetic_ep_00_pick_2,pick,0.0,1.14,1.14,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_pick_2.npz,True,,pick__0,2.031672147063619,0.125,0.625,False,True,preserve_populated_verb
synthetic_ep_00,synthetic_ep_00_smooth_1,smooth,0.0,1.02,1.02,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_smooth_1.npz,True,,smooth__0,2.8766681400855845,0.125,0.5,False,True,preserve_populated_verb
synthetic_ep_01,synthetic_ep_01_adjust_3,adjust,0.0,1.29,1.29,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_adjust_3.npz,True,,adjust__0,1.6263391319223295,0.5,0.125,False,False,
synthetic_ep_01,synthetic_ep_01_fold_0,fold,0.0,0.93,0.93,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_fold_0.npz,True,,fold__1,3.6255897545800146,0.75,0.5,False,False,
synthetic_ep_01,synthetic_ep_01_pick_2,pick,0.0,1.1700000000000002,1.1700000000000002,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_pick_2.npz,True,,pick__1,2.337762276473196,0.625,0.625,False,False,
synthetic_ep_01,synthetic_ep_01_smooth_1,smooth,0.0,1.05,1.05,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_smooth_1.npz,True,,smooth__1,3.3001832201189623,0.625,0.5,False,False,
synthetic_ep_02,synthetic_ep_02_adjust_3,adjust,0.0,1.32,1.32,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_adjust_3.npz,True,,adjust__0,1.2975129231975342,0.25,0.125,False,False,
synthetic_ep_02,synthetic_ep_02_fold_0,fold,0.0,0.96,0.96,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_fold_0.npz,True,,fold__0,3.0392157988534443,0.25,0.5,False,False,
synthetic_ep_02,synthetic_ep_02_pick_2,pick,0.0,1.2000000000000002,1.2000000000000002,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_pick_2.npz,True,,pick__0,2.26739690419228,0.5,0.625,False,False,
synthetic_ep_02,synthetic_ep_02_smooth_1,smooth,0.0,1.08,1.08,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_smooth_1.npz,True,,smooth__0,3.539368681328226,0.75,0.5,False,False,
synthetic_ep_03,synthetic_ep_03_adjust_3,adjust,0.0,1.26,1.26,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_adjust_3.npz,True,,adjust__1,3.0419835131706385,1.0,0.875,False,False,
synthetic_ep_03,synthetic_ep_03_fold_0,fold,0.0,0.9,0.9,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_fold_0.npz,True,,fold__1,3.46010585166754,0.625,0.5,False,True,facility_location_gain_per_second
synthetic_ep_03,synthetic_ep_03_pick_2,pick,0.0,1.14,1.14,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_pick_2.npz,True,,pick__1,2.4239434585492488,0.75,0.625,False,True,facility_location_gain_per_second
synthetic_ep_03,synthetic_ep_03_smooth_1,smooth,0.0,1.02,1.02,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_smooth_1.npz,True,,smooth__1,2.9130108122704756,0.25,0.5,False,True,facility_location_gain_per_second
synthetic_ep_04,synthetic_ep_04_adjust_3,adjust,0.0,1.29,1.29,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_adjust_3.npz,True,,adjust__0,1.7795252096552219,0.625,0.125,False,False,
synthetic_ep_04,synthetic_ep_04_fold_0,fold,0.0,0.93,0.93,0.98,1.0,0.98,0.0,0,source_declared_head_frame,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_fold_0.npz,True,,fold__0,4.212892076880136,1.0,0.5,False,True,facility_location_gain_per_second
