episode_id,segment_id,canonical_verb,start_time,end_time,duration,cluster_id,distinctiveness_percentile,selection_reason,source_data_path
synthetic_ep_00,synthetic_ep_00_adjust_3,adjust,0.0,1.26,1.26,adjust__0,0.375,preserve_populated_verb,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_adjust_3.npz
synthetic_ep_06,synthetic_ep_06_fold_0,fold,0.0,0.9,0.9,fold__0,0.125,preserve_populated_verb,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_06_fold_0.npz
synthetic_ep_00,synthetic_ep_00_pick_2,pick,0.0,1.14,1.14,pick__0,0.125,preserve_populated_verb,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_pick_2.npz
synthetic_ep_00,synthetic_ep_00_smooth_1,smooth,0.0,1.02,1.02,smooth__0,0.125,preserve_populated_verb,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_smooth_1.npz
synthetic_ep_03,synthetic_ep_03_smooth_1,smooth,0.0,1.02,1.02,smooth__1,0.25,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_smooth_1.npz
synthetic_ep_05,synthetic_ep_05_fold_0,fold,0.0,0.96,0.96,fold__1,0.5,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_05_fold_0.npz
synthetic_ep_04,synthetic_ep_04_pick_2,pick,0.0,1.1700000000000002,1.1700000000000002,pick__2,1.0,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_pick_2.npz
synthetic_ep_03,synthetic_ep_03_pick_2,pick,0.0,1.14,1.14,pick__1,0.75,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_pick_2.npz
synthetic_ep_03,synthetic_ep_03_fold_0,fold,0.0,0.9,0.9,fold__1,0.625,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_fold_0.npz
synthetic_ep_07,synthetic_ep_07_smooth_1,smooth,0.0,1.05,1.05,smooth__1,0.875,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_07_smooth_1.npz
synthetic_ep_06,synthetic_ep_06_smooth_1,smooth,0.0,1.02,1.02,smooth__0,1.0,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_06_smooth_1.npz
synthetic_ep_04,synthetic_ep_04_fold_0,fold,0.0,0.93,0.93,fold__0,1.0,facility_location_gain_per_second,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_04_fold_0.npz
