episode_id,segment_id,canonical_verb,start_time,end_time,duration,tracking_valid_frac,pose_ref,video_path,source_data_path
synthetic_ep_00,synthetic_ep_00_fold_0,fold,0.0,0.9,0.9,0.98,synthetic_ep_00_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_fold_0.npz
synthetic_ep_00,synthetic_ep_00_smooth_1,smooth,0.0,1.02,1.02,0.98,synthetic_ep_00_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_smooth_1.npz
synthetic_ep_00,synthetic_ep_00_pick_2,pick,0.0,1.1400000000000001,1.1400000000000001,0.98,synthetic_ep_00_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_pick_2.npz
synthetic_ep_00,synthetic_ep_00_adjust_3,adjust,0.0,1.26,1.26,0.98,synthetic_ep_00_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_00_adjust_3.npz
synthetic_ep_01,synthetic_ep_01_fold_0,fold,0.0,0.93,0.93,0.98,synthetic_ep_01_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_fold_0.npz
synthetic_ep_01,synthetic_ep_01_smooth_1,smooth,0.0,1.05,1.05,0.98,synthetic_ep_01_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_smooth_1.npz
synthetic_ep_01,synthetic_ep_01_pick_2,pick,0.0,1.1700000000000002,1.1700000000000002,0.98,synthetic_ep_01_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_pick_2.npz
synthetic_ep_01,synthetic_ep_01_adjust_3,adjust,0.0,1.29,1.29,0.98,synthetic_ep_01_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_01_adjust_3.npz
synthetic_ep_02,synthetic_ep_02_fold_0,fold,0.0,0.96,0.96,0.98,synthetic_ep_02_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_fold_0.npz
synthetic_ep_02,synthetic_ep_02_smooth_1,smooth,0.0,1.08,1.08,0.98,synthetic_ep_02_smooth_1.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_smooth_1.npz
synthetic_ep_02,synthetic_ep_02_pick_2,pick,0.0,1.2000000000000002,1.2000000000000002,0.98,synthetic_ep_02_pick_2.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_pick_2.npz
synthetic_ep_02,synthetic_ep_02_adjust_3,adjust,0.0,1.32,1.32,0.98,synthetic_ep_02_adjust_3.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_02_adjust_3.npz
synthetic_ep_03,synthetic_ep_03_fold_0,fold,0.0,0.9,0.9,0.98,synthetic_ep_03_fold_0.npz,,C:\Users\trey2\Desktop\ny_hackathon\NY-Hackathon-2026\experiments\egotrim_diversity_v2\synthetic_inputs\poses\synthetic_ep_03_fold_0.npz
